"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic","Required Field?","Custom Alignment","Question Number","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","enrolment","Pseudonymous identity","text","Study ID (pseudonymous)","","Assigned by the study team. NOT the app patient id, NOT a name.","","","","","","y","","","","","Pseudonymous study ID. The app patient UUID is mapped to this by a key list held by the study team, outside the app and outside REDCap."
"birth_year","enrolment","","text","Year of birth","","Year only — no full date of birth is exported.","integer","1900","2100","","","","","","","","SOURCE patient.birth_year. Only personal datum exported from the app; include only if ethics-approved."
"sex","enrolment","","radio","Sex","1, Female | 2, Male | 3, Other / prefer not to say","Entered by the study team in REDCap — the app does not store this. Include only if in scope and ethics-approved.","","","","","","","","","","","STUDY-TEAM ENTERED. Not populated by the app push."
"diagnosis","enrolment","","text","Primary diagnosis / indication","","Entered by the study team in REDCap — the app does not store this. Include only if in scope and ethics-approved.","","","","","","","","","","","STUDY-TEAM ENTERED. Not populated by the app push."
"enrol_date","enrolment","","text","Date of enrolment","","Entered by the study team.","date_ymd","","","","","","","","","","STUDY-TEAM ENTERED."
"cycle_index","treatment_cycle","Treatment cycle","text","Cycle number","","SOURCE treatment_cycle.cycle_number. One instance per cycle.","integer","1","99","","","y","","","","","REPEATING INSTRUMENT. cycle_index is the link key used by goal/checkin/treatment/goal_rating instruments."
"cycle_start_date","treatment_cycle","","text","Cycle start date","","","date_ymd","","","","","y","","","","","SOURCE treatment_cycle.start_date"
"cycle_review_date","treatment_cycle","","text","Planned review date","","","date_ymd","","","","","","","","","","SOURCE treatment_cycle.review_date"
"cycle_length_weeks","treatment_cycle","","text","Planned cycle length (weeks)","","","integer","1","52","","","","","","","","SOURCE treatment_cycle.length_weeks"
"cycle_status","treatment_cycle","","radio","Cycle status","1, Active | 2, Completed","","","","","","","","","","","","SOURCE treatment_cycle.status"
"tx_cycle_index","treatment","Injection session","text","Belongs to cycle number","","Links this session to its cycle.","integer","1","99","","","y","","","","","REPEATING INSTRUMENT. Link key = cycle_index."
"tx_date","treatment","","text","Injection date","","","date_ymd","","","","","","","","","","SOURCE treatment_session.date"
"tx_drug_product","treatment","","text","Toxin product","","","","","","","","","","","","","SOURCE treatment_session.drug_product (free text in app, e.g. brand)."
"tx_total_units","treatment","","text","Total units injected","","","number","0","100000","","","","","","","","SOURCE treatment_session.total_units"
"tx_dilution","treatment","","text","Dilution","","","","","","","","","","","","","SOURCE treatment_session.dilution"
"m_cycle_index","muscle","Injected muscle","text","Belongs to cycle number","","Links this muscle to the cycle's injection session.","integer","1","99","","","y","","","","","REPEATING INSTRUMENT. One instance per injected muscle, linked by cycle_index (one session per cycle in the app)."
"m_muscle","muscle","","text","Muscle","","","","","","","","","","","","","SOURCE muscle_injection.muscle"
"m_side","muscle","","radio","Side","1, Left | 2, Right | 3, Bilateral","","","","","","","","","","","","SOURCE muscle_injection.side"
"m_dose_units","muscle","","text","Dose (units)","","","number","0","100000","","","","","","","","SOURCE muscle_injection.dose_units"
"m_guidance","muscle","","radio","Guidance method","1, EMG | 2, Ultrasound | 3, US+EMG | 4, Electrical stimulation | 5, Anatomical landmarks | 6, None | 7, Other","","","","","","","","","","","","SOURCE muscle_injection.guidance"
"goal_index","goal","Goal","text","Goal number (within cycle)","","One instance per goal per cycle.","integer","1","99","","","y","","","","","REPEATING INSTRUMENT. Link keys = goal_cycle_index + goal_index."
"goal_cycle_index","goal","","text","Belongs to cycle number","","","integer","1","99","","","y","","","","","Link key = cycle_index."
