"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic","Required Field?","Custom Alignment","Question Number","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","enrolment","Pseudonymous identity","text","Study ID (pseudonymous)","","Assigned by the study team. NOT the app patient id, NOT a name.","","","","","","y","","","","",""
"birth_year","enrolment","","text","Year of birth","","Year only — no full date of birth is exported.","integer","1900","2100","","","","","","","",""
"sex","enrolment","","radio","Sex","1, Female | 2, Male | 3, Other / prefer not to say","Captured by the study team if in scope; the app does not store this today.","","","","","","","","","","",""
"diagnosis","enrolment","","text","Primary diagnosis / indication","","Free text or a study-defined list. Not stored by the app today.","","","","","","","","","","",""
"enrol_date","enrolment","","text","Date of enrolment","","","date_ymd","","","","","","","","","",""
"cycle_index","treatment_cycle","Treatment cycle","text","Cycle number","","Maps to treatment_cycle.cycle_number. This instrument repeats, one instance per cycle.","integer","1","99","","","y","","","","",""
"cycle_start_date","treatment_cycle","","text","Cycle start date","","treatment_cycle.start_date","date_ymd","","","","","y","","","","",""
"cycle_review_date","treatment_cycle","","text","Planned review date","","treatment_cycle.review_date","date_ymd","","","","","","","","","",""
"cycle_length_weeks","treatment_cycle","","text","Planned cycle length (weeks)","","treatment_cycle.length_weeks","integer","1","52","","","","","","","",""
"cycle_status","treatment_cycle","","radio","Cycle status","1, Active | 2, Completed","treatment_cycle.status","","","","","","","","","","",""
"tx_date","treatment","Injection session","text","Injection date","","treatment_session.date","date_ymd","","","","","","","","","",""
"tx_drug_product","treatment","","text","Toxin product","","treatment_session.drug_product (free text in app, e.g. brand).","","","","","","","","","","",""
"tx_total_units","treatment","","text","Total units injected","","treatment_session.total_units","number","0","100000","","","","","","","",""
"tx_dilution","treatment","","text","Dilution","","treatment_session.dilution","","","","","","","","","","",""
